filename,char
J1.png.cx_contour_0.png, 
J1.png.cx_contour_1.png, 
J1.png.cx_contour_10.png, 
J1.png.cx_contour_11.png, 
J1.png.cx_contour_12.png,t
J1.png.cx_contour_13.png, 
J1.png.cx_contour_14.png, 
J1.png.cx_contour_15.png,q
J1.png.cx_contour_16.png,n
J1.png.cx_contour_17.png, 
J1.png.cx_contour_18.png, 
J1.png.cx_contour_19.png, 
J1.png.cx_contour_2.png,f
J1.png.cx_contour_20.png,z
J1.png.cx_contour_21.png, 
J1.png.cx_contour_22.png,h
J1.png.cx_contour_23.png, 
J1.png.cx_contour_24.png, 
J1.png.cx_contour_25.png, 
J1.png.cx_contour_26.png, 
J1.png.cx_contour_27.png, 
J1.png.cx_contour_28.png, 
J1.png.cx_contour_29.png,a
J1.png.cx_contour_3.png, 
J1.png.cx_contour_30.png, 
J1.png.cx_contour_31.png, 
J1.png.cx_contour_32.png,w
J1.png.cx_contour_33.png, 
J1.png.cx_contour_34.png, 
J1.png.cx_contour_35.png,c
J1.png.cx_contour_36.png, 
J1.png.cx_contour_37.png,1
J1.png.cx_contour_38.png, 
J1.png.cx_contour_39.png,a
J1.png.cx_contour_4.png, 
J1.png.cx_contour_40.png,o
J1.png.cx_contour_41.png,y
J1.png.cx_contour_42.png, 
J1.png.cx_contour_43.png, 
J1.png.cx_contour_5.png, 
J1.png.cx_contour_6.png,o
J1.png.cx_contour_7.png,1
J1.png.cx_contour_8.png,w
J1.png.cx_contour_9.png,a
J2.png.cx_contour_0.png, 
J2.png.cx_contour_1.png, 
J2.png.cx_contour_10.png, 
J2.png.cx_contour_11.png,i
J2.png.cx_contour_12.png,a
J2.png.cx_contour_13.png, 
J2.png.cx_contour_14.png,q
J2.png.cx_contour_15.png, 
J2.png.cx_contour_16.png, 
J2.png.cx_contour_17.png, 
J2.png.cx_contour_18.png, 
J2.png.cx_contour_19.png,z
J2.png.cx_contour_2.png,f
J2.png.cx_contour_20.png, 
J2.png.cx_contour_21.png,i
J2.png.cx_contour_22.png, 
J2.png.cx_contour_23.png, 
J2.png.cx_contour_24.png, 
J2.png.cx_contour_25.png,l
J2.png.cx_contour_26.png, 
J2.png.cx_contour_27.png, 
J2.png.cx_contour_28.png, 
